pixel,background_mean,illuminated_mean,subtracted
0,119.625000,119.333333,0.000000
1,120.416667,119.875000,0.000000
2,120.250000,120.208333,0.000000
3,117.458333,117.625000,0.166667
4,119.375000,119.333333,0.000000
5,118.458333,118.500000,0.041667
6,117.750000,117.416667,0.000000
7,119.791667,119.708333,0.000000
8,117.875000,117.458333,0.000000
9,117.041667,116.791667,0.000000
10,118.166667,117.500000,0.000000
11,116.666667,116.458333,0.000000
12,118.208333,118.125000,0.000000
13,117.416667,117.458333,0.041667
14,116.791667,116.916667,0.125000
15,118.916667,118.833333,0.000000
16,116.291667,116.166667,0.000000
17,118.791667,118.250000,0.000000
18,119.000000,118.541667,0.000000
19,117.041667,116.750000,0.000000
20,120.208333,120.083333,0.000000
21,117.916667,117.083333,0.000000
22,118.791667,117.750000,0.000000
23,120.666667,120.250000,0.000000
24,117.250000,116.583333,0.000000
25,118.500000,117.916667,0.000000
26,120.541667,120.000000,0.000000
27,117.416667,117.208333,0.000000
28,120.583333,120.000000,0.000000
29,119.208333,119.041667,0.000000
30,119.583333,119.416667,0.000000
31,123.125000,122.833333,0.000000
32,122.166667,121.833333,0.000000
33,126.416667,125.583333,0.000000
34,129.291667,128.125000,0.000000
35,130.041667,128.916667,0.000000
36,134.541667,132.958333,0.000000
37,136.208333,134.541667,0.000000
38,138.833333,137.333333,0.000000
39,142.125000,140.916667,0.000000
40,140.541667,139.083333,0.000000
41,143.625000,141.958333,0.000000
42,143.625000,142.166667,0.000000
43,142.291667,140.916667,0.000000
44,144.583333,143.583333,0.000000
45,144.083333,143.000000,0.000000
46,145.125000,143.750000,0.000000
47,149.750000,148.125000,0.000000
48,151.041667,149.791667,0.000000
49,153.708333,151.750000,0.000000
50,155.833333,154.625000,0.000000
51,155.000000,153.875000,0.000000
52,157.625000,157.750000,0.125000
53,154.958333,155.208333,0.250000
54,152.750000,154.125000,1.375000
55,154.458333,156.291667,1.833333
56,153.208333,156.083333,2.875000
57,153.291667,157.125000,3.833333
58,154.375000,158.958333,4.583333
59,152.166667,157.291667,5.125000
60,154.875000,159.625000,4.750000
61,152.958333,156.625000,3.666667
62,154.083333,156.708333,2.625000
63,156.333333,158.250000,1.916667
64,153.958333,155.791667,1.833333
65,154.041667,154.291667,0.250000
66,154.250000,154.250000,0.000000
67,152.875000,152.416667,0.000000
68,153.458333,152.291667,0.000000
69,151.875000,150.333333,0.000000
70,151.333333,149.750000,0.000000
71,150.625000,149.375000,0.000000
72,148.458333,146.875000,0.000000
73,147.083333,145.791667,0.000000
74,146.958333,146.125000,0.000000
75,142.875000,141.833333,0.000000
76,145.500000,143.666667,0.000000
77,142.333333,141.291667,0.000000
78,141.000000,139.375000,0.000000
79,142.083333,140.916667,0.000000
