time_s,voltage_v
-1.000000000000e-04,3.188442000
-9.980000000000e-05,3.188442000
-9.960000000000e-05,3.188442000
-9.940000000000e-05,3.188442000
-9.920000000000e-05,3.188442000
-9.900000000000e-05,3.188442000
-9.880000000000e-05,3.188442000
-9.860000000000e-05,3.148241000
-9.840000000000e-05,3.148241000
-9.820000000000e-05,3.188442000
-9.800000000000e-05,3.148241000
-9.780000000000e-05,3.188442000
-9.760000000000e-05,3.188442000
-9.740000000000e-05,3.148241000
-9.720000000000e-05,3.188442000
-9.700000000000e-05,3.148241000
-9.680000000000e-05,3.148241000
-9.660000000000e-05,3.188442000
-9.640000000000e-05,3.188442000
-9.620000000000e-05,3.188442000
-9.600000000000e-05,3.188442000
-9.580000000000e-05,3.188442000
-9.560000000000e-05,3.188442000
-9.540000000000e-05,3.188442000
-9.520000000000e-05,3.148241000
-9.500000000000e-05,3.228643000
-9.480000000000e-05,3.188442000
-9.460000000000e-05,3.188442000
-9.440000000000e-05,3.188442000
-9.420000000000e-05,3.188442000
-9.400000000000e-05,3.188442000
-9.380000000000e-05,3.188442000
-9.360000000000e-05,3.148241000
-9.340000000000e-05,3.188442000
-9.320000000000e-05,3.188442000
-9.300000000000e-05,3.188442000
-9.280000000000e-05,3.148241000
-9.260000000000e-05,3.148241000
-9.240000000000e-05,3.148241000
-9.220000000000e-05,3.148241000
-9.200000000000e-05,3.188442000
-9.180000000000e-05,3.188442000
-9.160000000000e-05,3.148241000
-9.140000000000e-05,3.188442000
-9.120000000000e-05,3.148241000
-9.100000000000e-05,3.148241000
-9.080000000000e-05,3.188442000
-9.060000000000e-05,3.188442000
-9.040000000000e-05,3.188442000
-9.020000000000e-05,3.188442000
-9.000000000000e-05,3.188442000
-8.980000000000e-05,3.228643000
-8.960000000000e-05,3.228643000
-8.940000000000e-05,3.188442000
-8.920000000000e-05,3.228643000
-8.900000000000e-05,3.188442000
-8.880000000000e-05,3.228643000
-8.860000000000e-05,3.228643000
-8.840000000000e-05,3.228643000
-8.820000000000e-05,3.188442000
-8.800000000000e-05,3.188442000
-8.780000000000e-05,3.188442000
-8.760000000000e-05,3.228643000
-8.740000000000e-05,3.188442000
-8.720000000000e-05,3.228643000
-8.700000000000e-05,3.188442000
-8.680000000000e-05,3.188442000
-8.660000000000e-05,3.188442000
-8.640000000000e-05,3.188442000
-8.620000000000e-05,3.228643000
-8.600000000000e-05,3.188442000
-8.580000000000e-05,3.188442000
-8.560000000000e-05,3.228643000
-8.540000000000e-05,3.188442000
-8.520000000000e-05,3.228643000
-8.500000000000e-05,3.228643000
-8.480000000000e-05,3.228643000
-8.460000000000e-05,3.228643000
-8.440000000000e-05,3.228643000
-8.420000000000e-05,3.188442000
-8.400000000000e-05,3.228643000
-8.380000000000e-05,3.228643000
-8.360000000000e-05,3.188442000
-8.340000000000e-05,3.228643000
-8.320000000000e-05,3.228643000
-8.300000000000e-05,3.228643000
-8.280000000000e-05,3.228643000
-8.260000000000e-05,3.228643000
-8.240000000000e-05,3.188442000
-8.220000000000e-05,3.188442000
-8.200000000000e-05,3.188442000
-8.180000000000e-05,3.188442000
-8.160000000000e-05,3.188442000
-8.140000000000e-05,3.188442000
-8.120000000000e-05,3.188442000
-8.100000000000e-05,3.188442000
-8.080000000000e-05,3.188442000
-8.060000000000e-05,3.188442000
-8.040000000000e-05,3.188442000
-8.020000000000e-05,3.188442000
-8.000000000000e-05,3.188442000
-7.980000000000e-05,3.188442000
-7.960000000000e-05,3.148241000
-7.940000000000e-05,3.188442000
-7.920000000000e-05,3.228643000
-7.900000000000e-05,3.188442000
-7.880000000000e-05,3.188442000
-7.860000000000e-05,3.228643000
-7.840000000000e-05,3.188442000
-7.820000000000e-05,3.188442000
-7.800000000000e-05,3.188442000
-7.780000000000e-05,3.188442000
-7.760000000000e-05,3.228643000
-7.740000000000e-05,3.228643000
-7.720000000000e-05,3.228643000
-7.700000000000e-05,3.228643000
-7.680000000000e-05,3.188442000
-7.660000000000e-05,3.188442000
-7.640000000000e-05,3.188442000
-7.620000000000e-05,3.188442000
-7.600000000000e-05,3.188442000
-7.580000000000e-05,3.188442000
-7.560000000000e-05,3.188442000
-7.540000000000e-05,3.148241000
-7.520000000000e-05,3.188442000
-7.500000000000e-05,3.188442000
-7.480000000000e-05,3.148241000
-7.460000000000e-05,3.188442000
-7.440000000000e-05,3.188442000
-7.420000000000e-05,3.188442000
-7.400000000000e-05,3.188442000
-7.380000000000e-05,3.148241000
-7.360000000000e-05,3.188442000
-7.340000000000e-05,3.188442000
-7.320000000000e-05,3.188442000
-7.300000000000e-05,3.188442000
-7.280000000000e-05,3.188442000
-7.260000000000e-05,3.148241000
-7.240000000000e-05,3.188442000
-7.220000000000e-05,3.188442000
-7.200000000000e-05,3.148241000
-7.180000000000e-05,3.188442000
-7.160000000000e-05,3.148241000
-7.140000000000e-05,3.188442000
-7.120000000000e-05,3.188442000
-7.100000000000e-05,3.188442000
-7.080000000000e-05,3.188442000
-7.060000000000e-05,3.188442000
-7.040000000000e-05,3.188442000
-7.020000000000e-05,3.188442000
-7.000000000000e-05,3.188442000
