set_voltage_v,measured_voltage_v,measured_current_a
0.000000,0.000000,0.000000
0.250000,0.000000,0.000000
0.500000,0.396928,0.000000
0.750000,0.395060,0.000000
1.000000,0.798398,0.000000
1.250000,0.805059,0.000000
1.500000,1.319477,0.000000
1.750000,1.322799,0.000000
2.000000,1.824345,0.000000
2.250000,1.827681,0.000000
2.500000,2.322565,0.000000
2.750000,2.325911,0.000000
3.000000,2.822883,0.001601
3.250000,2.831147,0.001653
3.500000,3.277726,0.020000
