time_s,voltage_v
-2.500000650000e-01,3.187839000
-2.495000650000e-01,3.167738500
-2.490000650000e-01,3.228040000
-2.485000650000e-01,-0.048341500
-2.480000650000e-01,-0.048341500
-2.475000650000e-01,-0.028241000
-2.470000650000e-01,-0.028241000
-2.465000650000e-01,-0.048341500
-2.460000650000e-01,-0.048341500
-2.455000650000e-01,-0.048341500
-2.450000650000e-01,-0.048341500
-2.445000650000e-01,-0.048341500
-2.440000650000e-01,-0.048341500
-2.435000650000e-01,-0.048341500
-2.430000650000e-01,-0.048341500
-2.425000650000e-01,-0.048341500
-2.420000650000e-01,-0.048341500
-2.415000650000e-01,-0.028241000
-2.410000650000e-01,-0.048341500
-2.405000650000e-01,-0.048341500
-2.400000650000e-01,-0.048341500
-2.395000650000e-01,-0.048341500
-2.390000650000e-01,-0.048341500
-2.385000650000e-01,-0.048341500
-2.380000650000e-01,-0.048341500
-2.375000650000e-01,-0.048341500
-2.370000650000e-01,-0.048341500
-2.365000650000e-01,-0.048341500
-2.360000650000e-01,-0.048341500
-2.355000650000e-01,-0.048341500
-2.350000650000e-01,-0.048341500
-2.345000650000e-01,-0.048341500
-2.340000650000e-01,-0.048341500
-2.335000650000e-01,-0.048341500
-2.330000650000e-01,-0.048341500
-2.325000650000e-01,-0.048341500
-2.320000650000e-01,-0.048341500
-2.315000650000e-01,-0.048341500
-2.310000650000e-01,-0.028241000
-2.305000650000e-01,-0.048341500
-2.300000650000e-01,-0.048341500
-2.295000650000e-01,-0.028241000
-2.290000650000e-01,-0.048341500
-2.285000650000e-01,-0.048341500
-2.280000650000e-01,-0.048341500
-2.275000650000e-01,-0.028241000
-2.270000650000e-01,-0.048341500
-2.265000650000e-01,-0.048341500
-2.260000650000e-01,-0.048341500
-2.255000650000e-01,-0.048341500
-2.250000650000e-01,-0.048341500
-2.245000650000e-01,-0.048341500
-2.240000650000e-01,-0.048341500
-2.235000650000e-01,-0.028241000
-2.230000650000e-01,-0.028241000
-2.225000650000e-01,-0.048341500
-2.220000650000e-01,-0.048341500
-2.215000650000e-01,-0.048341500
-2.210000650000e-01,-0.048341500
-2.205000650000e-01,-0.048341500
-2.200000650000e-01,-0.028241000
-2.195000650000e-01,-0.028241000
-2.190000650000e-01,-0.048341500
-2.185000650000e-01,-0.028241000
-2.180000650000e-01,-0.028241000
-2.175000650000e-01,-0.048341500
-2.170000650000e-01,-0.048341500
-2.165000650000e-01,-0.048341500
-2.160000650000e-01,-0.048341500
-2.155000650000e-01,-0.028241000
-2.150000650000e-01,-0.048341500
-2.145000650000e-01,-0.048341500
-2.140000650000e-01,-0.048341500
-2.135000650000e-01,-0.048341500
-2.130000650000e-01,-0.048341500
-2.125000650000e-01,-0.048341500
-2.120000650000e-01,-0.048341500
-2.115000650000e-01,-0.048341500
-2.110000650000e-01,-0.028241000
-2.105000650000e-01,-0.048341500
-2.100000650000e-01,-0.048341500
-2.095000650000e-01,-0.048341500
-2.090000650000e-01,-0.048341500
-2.085000650000e-01,-0.048341500
-2.080000650000e-01,-0.048341500
-2.075000650000e-01,-0.048341500
-2.070000650000e-01,-0.048341500
-2.065000650000e-01,-0.048341500
-2.060000650000e-01,-0.048341500
-2.055000650000e-01,-0.048341500
-2.050000650000e-01,-0.048341500
-2.045000650000e-01,-0.048341500
-2.040000650000e-01,-0.048341500
-2.035000650000e-01,-0.048341500
-2.030000650000e-01,-0.048341500
-2.025000650000e-01,-0.048341500
-2.020000650000e-01,-0.028241000
-2.015000650000e-01,-0.048341500
-2.010000650000e-01,-0.028241000
-2.005000650000e-01,-0.048341500
-2.000000650000e-01,-0.028241000
-1.995000650000e-01,-0.048341500
-1.990000650000e-01,-0.048341500
-1.985000650000e-01,3.207939500
-1.980000650000e-01,3.228040000
-1.975000650000e-01,3.207939500
-1.970000650000e-01,3.207939500
-1.965000650000e-01,3.207939500
-1.960000650000e-01,3.207939500
-1.955000650000e-01,3.187839000
-1.950000650000e-01,3.187839000
-1.945000650000e-01,3.187839000
-1.940000650000e-01,3.207939500
-1.935000650000e-01,3.187839000
-1.930000650000e-01,3.228040000
-1.925000650000e-01,3.187839000
-1.920000650000e-01,3.187839000
-1.915000650000e-01,3.207939500
-1.910000650000e-01,3.228040000
-1.905000650000e-01,3.187839000
-1.900000650000e-01,3.167738500
-1.895000650000e-01,3.228040000
-1.890000650000e-01,3.207939500
-1.885000650000e-01,3.207939500
-1.880000650000e-01,3.228040000
-1.875000650000e-01,3.228040000
-1.870000650000e-01,3.207939500
-1.865000650000e-01,3.187839000
-1.860000650000e-01,3.228040000
-1.855000650000e-01,3.207939500
-1.850000650000e-01,3.207939500
-1.845000650000e-01,3.167738500
-1.840000650000e-01,3.207939500
-1.835000650000e-01,3.207939500
-1.830000650000e-01,3.187839000
-1.825000650000e-01,3.207939500
-1.820000650000e-01,3.187839000
-1.815000650000e-01,3.187839000
-1.810000650000e-01,3.207939500
-1.805000650000e-01,3.228040000
-1.800000650000e-01,3.248140500
-1.795000650000e-01,3.207939500
-1.790000650000e-01,3.228040000
-1.785000650000e-01,3.228040000
-1.780000650000e-01,3.147638000
-1.775000650000e-01,3.207939500
-1.770000650000e-01,3.207939500
-1.765000650000e-01,3.187839000
-1.760000650000e-01,3.228040000
-1.755000650000e-01,3.167738500
-1.750000650000e-01,3.167738500
-1.745000650000e-01,3.187839000
-1.740000650000e-01,3.207939500
-1.735000650000e-01,3.207939500
-1.730000650000e-01,3.147638000
-1.725000650000e-01,3.207939500
-1.720000650000e-01,3.228040000
-1.715000650000e-01,3.167738500
-1.710000650000e-01,3.187839000
-1.705000650000e-01,3.207939500
-1.700000650000e-01,3.187839000
-1.695000650000e-01,3.207939500
-1.690000650000e-01,3.207939500
-1.685000650000e-01,3.187839000
-1.680000650000e-01,3.207939500
-1.675000650000e-01,3.207939500
-1.670000650000e-01,3.187839000
-1.665000650000e-01,3.187839000
-1.660000650000e-01,3.207939500
-1.655000650000e-01,3.187839000
-1.650000650000e-01,3.207939500
-1.645000650000e-01,3.187839000
-1.640000650000e-01,3.207939500
-1.635000650000e-01,3.187839000
-1.630000650000e-01,3.207939500
-1.625000650000e-01,3.207939500
-1.620000650000e-01,3.228040000
-1.615000650000e-01,3.207939500
-1.610000650000e-01,3.207939500
-1.605000650000e-01,3.187839000
-1.600000650000e-01,3.207939500
-1.595000650000e-01,3.207939500
-1.590000650000e-01,3.167738500
-1.585000650000e-01,3.207939500
-1.580000650000e-01,3.207939500
-1.575000650000e-01,3.207939500
-1.570000650000e-01,3.207939500
-1.565000650000e-01,3.207939500
-1.560000650000e-01,3.228040000
-1.555000650000e-01,3.167738500
-1.550000650000e-01,3.248140500
-1.545000650000e-01,3.187839000
-1.540000650000e-01,3.207939500
-1.535000650000e-01,3.207939500
-1.530000650000e-01,3.187839000
-1.525000650000e-01,3.228040000
-1.520000650000e-01,3.207939500
-1.515000650000e-01,3.207939500
-1.510000650000e-01,3.228040000
-1.505000650000e-01,3.187839000
-1.500000650000e-01,3.207939500
-1.495000650000e-01,3.187839000
-1.490000650000e-01,-0.028241000
-1.485000650000e-01,-0.048341500
-1.480000650000e-01,-0.048341500
-1.475000650000e-01,-0.048341500
-1.470000650000e-01,-0.048341500
-1.465000650000e-01,-0.048341500
-1.460000650000e-01,-0.048341500
-1.455000650000e-01,-0.048341500
-1.450000650000e-01,-0.048341500
-1.445000650000e-01,-0.048341500
-1.440000650000e-01,-0.048341500
-1.435000650000e-01,-0.048341500
-1.430000650000e-01,-0.048341500
-1.425000650000e-01,-0.028241000
-1.420000650000e-01,-0.028241000
-1.415000650000e-01,-0.028241000
-1.410000650000e-01,-0.048341500
-1.405000650000e-01,-0.048341500
-1.400000650000e-01,-0.048341500
-1.395000650000e-01,-0.048341500
-1.390000650000e-01,-0.048341500
-1.385000650000e-01,-0.048341500
-1.380000650000e-01,-0.048341500
-1.375000650000e-01,-0.048341500
-1.370000650000e-01,-0.048341500
-1.365000650000e-01,-0.048341500
-1.360000650000e-01,-0.048341500
-1.355000650000e-01,-0.028241000
-1.350000650000e-01,-0.028241000
-1.345000650000e-01,-0.048341500
-1.340000650000e-01,-0.048341500
-1.335000650000e-01,-0.048341500
-1.330000650000e-01,-0.028241000
-1.325000650000e-01,-0.048341500
-1.320000650000e-01,-0.048341500
-1.315000650000e-01,-0.048341500
-1.310000650000e-01,-0.048341500
-1.305000650000e-01,-0.048341500
-1.300000650000e-01,-0.048341500
-1.295000650000e-01,-0.048341500
-1.290000650000e-01,-0.048341500
-1.285000650000e-01,-0.048341500
-1.280000650000e-01,-0.048341500
-1.275000650000e-01,-0.048341500
-1.270000650000e-01,-0.048341500
-1.265000650000e-01,-0.048341500
-1.260000650000e-01,-0.048341500
-1.255000650000e-01,-0.028241000
-1.250000650000e-01,-0.048341500
-1.245000650000e-01,-0.048341500
-1.240000650000e-01,-0.028241000
-1.235000650000e-01,-0.048341500
-1.230000650000e-01,-0.048341500
-1.225000650000e-01,-0.048341500
-1.220000650000e-01,-0.048341500
-1.215000650000e-01,-0.048341500
-1.210000650000e-01,-0.048341500
-1.205000650000e-01,-0.028241000
-1.200000650000e-01,-0.048341500
-1.195000650000e-01,-0.048341500
-1.190000650000e-01,-0.048341500
-1.185000650000e-01,-0.048341500
-1.180000650000e-01,-0.048341500
-1.175000650000e-01,-0.028241000
-1.170000650000e-01,-0.048341500
-1.165000650000e-01,-0.048341500
-1.160000650000e-01,-0.028241000
-1.155000650000e-01,-0.048341500
-1.150000650000e-01,-0.048341500
-1.145000650000e-01,-0.048341500
-1.140000650000e-01,-0.048341500
-1.135000650000e-01,-0.048341500
-1.130000650000e-01,-0.048341500
-1.125000650000e-01,-0.028241000
-1.120000650000e-01,-0.048341500
-1.115000650000e-01,-0.048341500
-1.110000650000e-01,-0.048341500
-1.105000650000e-01,-0.048341500
-1.100000650000e-01,-0.048341500
-1.095000650000e-01,-0.028241000
-1.090000650000e-01,-0.048341500
-1.085000650000e-01,-0.048341500
-1.080000650000e-01,-0.048341500
-1.075000650000e-01,-0.048341500
-1.070000650000e-01,-0.048341500
-1.065000650000e-01,-0.048341500
-1.060000650000e-01,-0.048341500
-1.055000650000e-01,-0.028241000
-1.050000650000e-01,-0.048341500
-1.045000650000e-01,-0.048341500
-1.040000650000e-01,-0.048341500
-1.035000650000e-01,-0.048341500
-1.030000650000e-01,-0.048341500
-1.025000650000e-01,-0.048341500
-1.020000650000e-01,-0.048341500
-1.015000650000e-01,-0.048341500
-1.010000650000e-01,-0.048341500
-1.005000650000e-01,-0.048341500
-1.000000650000e-01,-0.048341500
-9.950006500000e-02,-0.028241000
-9.900006500000e-02,3.187839000
-9.850006500000e-02,3.248140500
-9.800006500000e-02,3.248140500
-9.750006500000e-02,3.187839000
-9.700006500000e-02,3.207939500
-9.650006500000e-02,3.228040000
-9.600006500000e-02,3.207939500
-9.550006500000e-02,3.187839000
-9.500006500000e-02,3.187839000
-9.450006500000e-02,3.167738500
-9.400006500000e-02,3.187839000
-9.350006500000e-02,3.207939500
-9.300006500000e-02,3.207939500
-9.250006500000e-02,3.187839000
-9.200006500000e-02,3.207939500
-9.150006500000e-02,3.207939500
-9.100006500000e-02,3.228040000
-9.050006500000e-02,3.228040000
-9.000006500000e-02,3.187839000
-8.950006500000e-02,3.228040000
-8.900006500000e-02,3.187839000
-8.850006500000e-02,3.187839000
-8.800006500000e-02,3.207939500
-8.750006500000e-02,3.187839000
-8.700006500000e-02,3.228040000
-8.650006500000e-02,3.207939500
-8.600006500000e-02,3.207939500
-8.550006500000e-02,3.228040000
-8.500006500000e-02,3.187839000
-8.450006500000e-02,3.207939500
-8.400006500000e-02,3.207939500
-8.350006500000e-02,3.207939500
-8.300006500000e-02,3.187839000
-8.250006500000e-02,3.207939500
-8.200006500000e-02,3.207939500
-8.150006500000e-02,3.207939500
-8.100006500000e-02,3.187839000
-8.050006500000e-02,3.207939500
-8.000006500000e-02,3.228040000
-7.950006500000e-02,3.207939500
-7.900006500000e-02,3.207939500
-7.850006500000e-02,3.207939500
-7.800006500000e-02,3.187839000
-7.750006500000e-02,3.187839000
-7.700006500000e-02,3.228040000
-7.650006500000e-02,3.207939500
-7.600006500000e-02,3.187839000
-7.550006500000e-02,3.207939500
-7.500006500000e-02,3.187839000
-7.450006500000e-02,3.207939500
-7.400006500000e-02,3.228040000
-7.350006500000e-02,3.228040000
-7.300006500000e-02,3.228040000
-7.250006500000e-02,3.187839000
-7.200006500000e-02,3.228040000
-7.150006500000e-02,3.167738500
-7.100006500000e-02,3.228040000
-7.050006500000e-02,3.228040000
-7.000006500000e-02,3.207939500
-6.950006500000e-02,3.207939500
-6.900006500000e-02,3.228040000
-6.850006500000e-02,3.207939500
-6.800006500000e-02,3.187839000
-6.750006500000e-02,3.187839000
-6.700006500000e-02,3.187839000
-6.650006500000e-02,3.187839000
-6.600006500000e-02,3.228040000
-6.550006500000e-02,3.207939500
-6.500006500000e-02,3.228040000
-6.450006500000e-02,3.207939500
-6.400006500000e-02,3.228040000
-6.350006500000e-02,3.187839000
-6.300006500000e-02,3.187839000
-6.250006500000e-02,3.207939500
-6.200006500000e-02,3.207939500
-6.150006500000e-02,3.167738500
-6.100006500000e-02,3.187839000
-6.050006500000e-02,3.187839000
-6.000006500000e-02,3.207939500
-5.950006500000e-02,3.207939500
-5.900006500000e-02,3.207939500
-5.850006500000e-02,3.207939500
-5.800006500000e-02,3.207939500
-5.750006500000e-02,3.207939500
-5.700006500000e-02,3.228040000
-5.650006500000e-02,3.207939500
-5.600006500000e-02,3.207939500
-5.550006500000e-02,3.147638000
-5.500006500000e-02,3.228040000
-5.450006500000e-02,3.207939500
-5.400006500000e-02,3.228040000
-5.350006500000e-02,3.228040000
-5.300006500000e-02,3.228040000
