pixel,background_mean,illuminated_mean,subtracted
129,122.750000,137.708333,14.958333
130,123.583333,138.083333,14.500000
131,122.291667,135.750000,13.458333
132,123.916667,136.666667,12.750000
133,121.708333,134.208333,12.500000
134,121.375000,133.125000,11.750000
135,122.916667,134.583333,11.666667
136,119.875000,131.041667,11.166667
137,121.125000,131.333333,10.208333
138,122.416667,132.125000,9.708333
139,119.958333,129.083333,9.125000
140,121.333333,130.458333,9.125000
141,120.958333,130.375000,9.416667
142,120.625000,129.750000,9.125000
143,124.083333,133.583333,9.500000
144,122.041667,132.291667,10.250000
145,123.708333,134.166667,10.458333
146,124.375000,134.958333,10.583333
147,124.708333,135.250000,10.541667
148,127.083333,138.166667,11.083333
149,127.250000,138.416667,11.166667
150,129.583333,140.958333,11.375000
151,130.708333,142.208333,11.500000
152,130.541667,142.750000,12.208333
153,133.375000,144.958333,11.583333
154,135.541667,147.458333,11.916667
155,134.750000,146.541667,11.791667
156,136.333333,148.375000,12.041667
157,135.083333,147.208333,12.125000
158,136.541667,148.125000,11.583333
159,138.333333,150.375000,12.041667
160,137.416667,149.041667,11.625000
161,139.458333,150.875000,11.416667
162,143.958333,155.458333,11.500000
163,142.500000,154.041667,11.541667
164,145.166667,156.833333,11.666667
165,145.250000,157.250000,12.000000
166,146.416667,157.083333,10.666667
167,149.583333,160.958333,11.375000
168,148.375000,159.541667,11.166667
169,149.916667,160.375000,10.458333
170,151.250000,161.708333,10.458333
171,149.083333,159.375000,10.291667
172,150.583333,160.750000,10.166667
173,149.083333,158.708333,9.625000
174,148.208333,157.958333,9.750000
175,148.750000,157.916667,9.166667
176,147.000000,156.625000,9.625000
177,147.375000,156.958333,9.583333
178,149.958333,158.833333,8.875000
179,148.708333,157.583333,8.875000
180,152.041667,161.291667,9.250000
181,151.625000,160.375000,8.750000
182,153.541667,161.500000,7.958333
183,156.500000,164.416667,7.916667
184,156.708333,164.250000,7.541667
185,157.375000,165.041667,7.666667
186,159.666667,167.375000,7.708333
187,159.416667,167.166667,7.750000
188,162.458333,169.458333,7.000000
189,161.708333,168.916667,7.208333
190,162.166667,169.125000,6.958333
191,163.666667,170.708333,7.041667
192,162.291667,169.208333,6.916667
193,162.625000,169.458333,6.833333
194,162.500000,169.208333,6.708333
195,158.541667,164.541667,6.000000
196,158.208333,163.791667,5.583333
197,151.750000,157.208333,5.458333
198,147.291667,152.708333,5.416667
199,146.166667,151.750000,5.583333
200,143.291667,148.583333,5.291667
201,143.541667,148.625000,5.083333
202,149.708333,155.375000,5.666667
203,150.291667,156.000000,5.708333
204,156.625000,162.208333,5.583333
205,159.708333,164.666667,4.958333
206,161.458333,166.250000,4.791667
207,164.333333,169.250000,4.916667
208,162.791667,167.583333,4.791667
209,162.875000,168.041667,5.166667
210,162.875000,167.958333,5.083333
211,160.875000,165.291667,4.416667
212,163.125000,168.166667,5.041667
213,160.166667,164.791667,4.625000
214,160.333333,165.500000,5.166667
215,160.625000,164.833333,4.208333
216,157.791667,161.708333,3.916667
217,157.958333,161.916667,3.958333
218,158.625000,162.166667,3.541667
219,156.500000,159.833333,3.333333
220,158.625000,162.500000,3.875000
221,156.625000,160.875000,4.250000
222,155.833333,159.541667,3.708333
223,157.500000,160.625000,3.125000
224,155.041667,158.750000,3.708333
225,154.833333,158.250000,3.416667
226,156.291667,159.416667,3.125000
227,152.916667,156.333333,3.416667
228,154.041667,157.333333,3.291667
229,150.875000,154.708333,3.833333
230,150.000000,153.500000,3.500000
231,149.958333,152.791667,2.833333
232,146.833333,149.541667,2.708333
233,145.291667,147.958333,2.666667
234,145.375000,147.625000,2.250000
235,141.750000,144.083333,2.333333
236,145.208333,147.625000,2.416667
237,142.458333,144.750000,2.291667
238,140.791667,143.875000,3.083333
239,142.791667,145.375000,2.583333
240,141.125000,143.625000,2.500000
241,142.416667,144.791667,2.375000
242,144.166667,146.208333,2.041667
243,141.333333,143.208333,1.875000
244,142.125000,144.333333,2.208333
245,142.708333,145.041667,2.333333
246,142.333333,144.583333,2.250000
247,145.291667,147.125000,1.833333
248,141.583333,143.958333,2.375000
249,143.333333,145.958333,2.625000
250,143.583333,146.208333,2.625000
251,141.875000,143.666667,1.791667
252,144.625000,146.458333,1.833333
253,142.291667,144.416667,2.125000
254,141.583333,143.333333,1.750000
255,143.125000,145.083333,1.958333
256,141.250000,142.666667,1.416667
257,140.875000,142.708333,1.833333
258,141.708333,143.416667,1.708333
259,138.708333,141.041667,2.333333
260,141.583333,143.500000,1.916667
261,140.041667,141.875000,1.833333
262,138.541667,140.583333,2.041667
263,139.333333,141.291667,1.958333
264,137.833333,139.750000,1.916667
265,137.500000,139.166667,1.666667
266,139.500000,141.458333,1.958333
267,135.958333,137.458333,1.500000
268,137.416667,139.125000,1.708333
269,136.750000,138.750000,2.000000
270,135.875000,137.583333,1.708333
271,139.083333,140.083333,1.000000
272,135.583333,137.583333,2.000000
273,136.416667,137.875000,1.458333
274,136.541667,138.333333,1.791667
275,134.000000,135.541667,1.541667
276,137.166667,138.166667,1.000000
277,136.041667,137.500000,1.458333
278,133.333333,134.625000,1.291667
279,135.375000,136.500000,1.125000
280,134.041667,135.625000,1.583333
281,134.958333,136.375000,1.416667
282,134.625000,136.166667,1.541667
283,132.458333,134.000000,1.541667
284,133.958333,135.375000,1.416667
285,132.250000,133.708333,1.458333
286,131.875000,133.416667,1.541667
287,133.083333,134.250000,1.166667
