pixel,background_mean,illuminated_mean,subtracted
0,117.916667,139.541667,21.625000
1,118.500000,140.333333,21.833333
2,119.000000,140.625000,21.625000
3,116.583333,138.416667,21.833333
4,118.291667,140.166667,21.875000
5,117.500000,139.541667,22.041667
6,116.833333,138.916667,22.083333
7,119.125000,141.000000,21.875000
8,116.916667,138.625000,21.708333
9,116.416667,138.000000,21.583333
10,116.833333,139.125000,22.291667
11,115.625000,137.708333,22.083333
12,117.125000,139.250000,22.125000
13,116.166667,139.000000,22.833333
14,115.875000,138.958333,23.083333
15,117.791667,140.875000,23.083333
16,115.125000,138.750000,23.625000
17,117.333333,140.916667,23.583333
18,117.791667,142.208333,24.416667
19,115.666667,140.416667,24.750000
20,119.083333,144.541667,25.458333
21,116.708333,142.666667,25.958333
22,117.000000,144.083333,27.083333
23,119.458333,147.166667,27.708333
24,116.041667,145.000000,28.958333
25,117.083333,147.000000,29.916667
26,119.083333,150.166667,31.083333
27,115.875000,147.958333,32.083333
28,118.958333,152.833333,33.875000
29,118.166667,153.041667,34.875000
30,118.458333,155.333333,36.875000
31,121.541667,160.125000,38.583333
32,119.916667,161.708333,41.791667
33,123.708333,167.916667,44.208333
34,126.208333,173.666667,47.458333
35,126.708333,178.666667,51.958333
36,130.208333,188.000000,57.791667
37,131.416667,197.458333,66.041667
38,134.041667,211.583333,77.541667
39,136.958333,232.791667,95.833333
40,135.500000,259.041667,123.541667
41,138.041667,308.416667,170.375000
42,138.250000,378.083333,239.833333
43,137.125000,484.000000,346.875000
44,139.958333,641.583333,501.625000
45,138.916667,840.625000,701.708333
46,139.750000,987.916667,848.166667
47,143.958333,1000.000000,856.041667
48,145.583333,1002.333333,856.750000
49,147.708333,1001.208333,853.500000
50,149.916667,999.000000,849.083333
51,148.791667,1000.250000,851.458333
52,151.625000,1001.458333,849.833333
53,148.916667,999.541667,850.625000
54,147.000000,1000.291667,853.291667
55,148.041667,999.166667,851.125000
56,146.500000,1001.166667,854.666667
57,146.000000,1000.291667,854.291667
58,147.000000,997.041667,850.041667
59,145.166667,836.875000,691.708333
60,148.375000,521.833333,373.458333
61,146.000000,379.458333,233.458333
62,147.041667,331.083333,184.041667
63,149.416667,360.125000,210.708333
64,147.750000,576.750000,429.000000
65,146.833333,902.833333,756.000000
66,147.125000,992.375000,845.250000
67,145.958333,998.750000,852.791667
68,146.208333,997.958333,851.750000
69,145.166667,998.916667,853.750000
70,144.416667,999.541667,855.125000
71,144.375000,997.666667,853.291667
72,142.375000,999.833333,857.458333
73,142.000000,1000.458333,858.458333
74,141.875000,1000.916667,859.041667
75,138.125000,998.708333,860.583333
76,140.250000,1000.166667,859.916667
77,137.375000,1001.041667,863.666667
78,136.291667,999.541667,863.250000
79,137.541667,1000.375000,862.833333
80,134.583333,999.541667,864.958333
81,134.708333,968.500000,833.791667
82,136.166667,850.000000,713.833333
83,133.708333,723.916667,590.208333
84,135.541667,615.333333,479.791667
85,132.750000,525.541667,392.791667
86,133.250000,451.833333,318.583333
87,133.250000,388.166667,254.916667
88,131.083333,331.791667,200.708333
89,131.458333,296.333333,164.875000
90,130.666667,270.083333,139.416667
91,129.125000,243.375000,114.250000
92,130.250000,225.291667,95.041667
93,128.541667,208.958333,80.416667
94,128.750000,197.625000,68.875000
95,128.500000,187.708333,59.208333
96,124.875000,176.541667,51.666667
97,126.875000,171.916667,45.041667
98,127.541667,168.875000,41.333333
99,124.958333,161.958333,37.000000
100,126.791667,160.416667,33.625000
101,124.583333,156.375000,31.791667
102,123.333333,152.833333,29.500000
103,124.833333,152.416667,27.583333
104,123.666667,149.791667,26.125000
105,123.416667,148.000000,24.583333
106,124.291667,147.875000,23.583333
107,122.375000,143.958333,21.583333
108,124.708333,145.958333,21.250000
109,121.833333,142.166667,20.333333
110,122.166667,141.666667,19.500000
111,123.208333,141.458333,18.250000
112,120.791667,138.291667,17.500000
113,122.083333,138.708333,16.625000
114,121.666667,137.875000,16.208333
115,120.791667,136.375000,15.583333
116,123.250000,138.750000,15.500000
117,121.416667,137.125000,15.708333
118,121.750000,137.208333,15.458333
119,123.833333,138.958333,15.125000
120,121.250000,137.041667,15.791667
121,122.541667,137.833333,15.291667
122,123.125000,138.833333,15.708333
123,121.458333,136.666667,15.208333
124,123.833333,139.208333,15.375000
125,123.083333,138.708333,15.625000
126,122.000000,137.541667,15.541667
127,123.166667,138.708333,15.541667
128,122.541667,137.916667,15.375000
