pixel,background_mean,illuminated_mean,subtracted
161,137.375000,293.916667,156.541667
162,142.083333,294.416667,152.333333
163,141.083333,288.000000,146.916667
164,143.416667,288.000000,144.583333
165,143.750000,284.666667,140.916667
166,144.125000,280.541667,136.416667
167,147.916667,281.166667,133.250000
168,146.500000,276.458333,129.958333
169,147.500000,273.416667,125.916667
170,148.541667,271.291667,122.750000
171,146.333333,265.625000,119.291667
172,148.000000,263.000000,115.000000
173,146.375000,259.458333,113.083333
174,145.833333,254.541667,108.708333
175,146.583333,251.625000,105.041667
176,145.208333,247.083333,101.875000
177,145.458333,243.958333,98.500000
178,147.791667,243.750000,95.958333
179,146.625000,239.625000,93.000000
180,149.750000,240.291667,90.541667
181,149.125000,235.208333,86.083333
182,150.916667,234.583333,83.666667
183,153.750000,234.458333,80.708333
184,153.875000,231.958333,78.083333
185,154.208333,229.125000,74.916667
186,156.708333,229.125000,72.416667
187,156.125000,226.708333,70.583333
188,158.958333,227.041667,68.083333
189,158.958333,223.958333,65.000000
190,159.125000,221.750000,62.625000
191,160.750000,221.250000,60.500000
192,159.833333,216.666667,56.833333
193,160.375000,216.125000,55.750000
194,160.375000,213.916667,53.541667
195,156.125000,208.083333,51.958333
196,155.625000,206.208333,50.583333
197,150.041667,198.583333,48.541667
198,145.583333,192.541667,46.958333
199,145.458333,190.125000,44.666667
200,142.541667,185.583333,43.041667
201,142.458333,184.125000,41.666667
202,149.041667,189.041667,40.000000
203,148.958333,187.458333,38.500000
204,155.333333,192.541667,37.208333
205,157.875000,193.208333,35.333333
206,158.916667,193.583333,34.666667
207,162.375000,195.333333,32.958333
208,160.583333,193.125000,32.541667
209,160.875000,191.958333,31.083333
210,161.250000,191.625000,30.375000
211,158.541667,188.583333,30.041667
212,161.166667,190.208333,29.041667
213,158.083333,186.500000,28.416667
214,158.750000,185.291667,26.541667
215,159.083333,185.083333,26.000000
216,156.333333,181.083333,24.750000
217,156.583333,180.958333,24.375000
218,157.666667,181.125000,23.458333
219,155.000000,177.791667,22.791667
220,157.375000,179.875000,22.500000
221,155.666667,176.875000,21.208333
222,154.416667,175.625000,21.208333
223,155.625000,176.375000,20.750000
224,153.916667,173.416667,19.500000
225,153.416667,172.541667,19.125000
226,155.250000,174.041667,18.791667
227,152.333333,169.916667,17.583333
228,153.458333,170.875000,17.416667
229,150.166667,167.125000,16.958333
230,149.041667,165.833333,16.791667
231,149.458333,165.375000,15.916667
232,146.541667,162.166667,15.625000
233,144.666667,159.250000,14.583333
234,144.791667,158.708333,13.916667
235,141.333333,155.458333,14.125000
236,145.166667,158.333333,13.166667
237,142.541667,155.041667,12.500000
238,141.708333,153.916667,12.208333
239,142.625000,155.250000,12.625000
240,141.000000,153.583333,12.583333
241,141.875000,153.625000,11.750000
242,143.541667,155.875000,12.333333
243,140.666667,152.250000,11.583333
244,142.041667,152.458333,10.416667
245,142.333333,152.875000,10.541667
246,141.708333,152.166667,10.458333
247,144.458333,154.625000,10.166667
248,141.875000,151.541667,9.666667
249,143.458333,152.875000,9.416667
250,143.916667,152.833333,8.916667
251,141.333333,150.583333,9.250000
252,143.958333,152.875000,8.916667
253,141.625000,150.875000,9.250000
254,140.916667,149.666667,8.750000
255,142.583333,151.166667,8.583333
256,140.541667,148.958333,8.416667
